Study.Accession	Reported.trait	Group	UKB.Field.ID	QC.Flag.Field.ID	type	analysis	adjustment	sex	population
GCST90501117	Phospholipids in HDL	Phospholipids	23414	23714	array	Meta-analysis		Combined	Combined
GCST90497436	Phospholipids in HDL	Phospholipids	23414	23714	sequencing	exWAS	PGS adjusted	Combined	British-Central/South Asian
GCST90497432	Phospholipids in HDL	Phospholipids	23414	23714	sequencing	exWAS	PGS adjusted	Combined	European
GCST90497433	Phospholipids in HDL	Phospholipids	23414	23714	sequencing	exWAS	PGS adjusted	Combined	British-African
GCST90497428	Phospholipids in HDL	Phospholipids	23414	23714	sequencing	exWAS	no PGS adjustment	Combined	European
GCST90497431	Phospholipids in HDL	Phospholipids	23414	23714	sequencing	exWAS	no PGS adjustment	Combined	British-Central/South Asian
GCST90497423	Phospholipids in HDL	Phospholipids	23414	23714	sequencing	exWAS	no PGS adjustment	Combined	British-African
GCST90497636	Phospholipids in IDL	Lipoprotein subclasses	23525	23825	array	Discovery		Combined	European
GCST90497633	Phospholipids in IDL	Lipoprotein subclasses	23525	23825	array	Discovery		Combined	British-African
GCST90497635	Phospholipids in IDL	Lipoprotein subclasses	23525	23825	array	Discovery		Combined	British-Central/South Asian
GCST90497626	Phospholipids in IDL	Lipoprotein subclasses	23525	23825	array	Discovery		Female	European
GCST90497628	Phospholipids in IDL	Lipoprotein subclasses	23525	23825	array	Discovery		Male	European
GCST90497625	Phospholipids in IDL	Lipoprotein subclasses	23525	23825	sequencing	Gene-burden	PGS adjusted	Combined	British-Central/South Asian
GCST90497629	Phospholipids in IDL	Lipoprotein subclasses	23525	23825	sequencing	Gene-burden	PGS adjusted	Combined	British-African
GCST90497632	Phospholipids in IDL	Lipoprotein subclasses	23525	23825	sequencing	Gene-burden	PGS adjusted	Combined	European
GCST90497624	Phospholipids in IDL	Lipoprotein subclasses	23525	23825	sequencing	Gene-burden	no PGS adjustment	Combined	British-Central/South Asian
GCST90497627	Phospholipids in IDL	Lipoprotein subclasses	23525	23825	sequencing	Gene-burden	no PGS adjustment	Combined	European
GCST90497634	Phospholipids in IDL	Lipoprotein subclasses	23525	23825	sequencing	Gene-burden	no PGS adjustment	Combined	British-African
GCST90501129	Phospholipids in IDL	Lipoprotein subclasses	23525	23825	array	Meta-analysis		Combined	Combined
GCST90497623	Phospholipids in IDL	Lipoprotein subclasses	23525	23825	sequencing	exWAS	PGS adjusted	Combined	British-African
GCST90497638	Phospholipids in IDL	Lipoprotein subclasses	23525	23825	sequencing	exWAS	PGS adjusted	Combined	European
GCST90497630	Phospholipids in IDL	Lipoprotein subclasses	23525	23825	sequencing	exWAS	PGS adjusted	Combined	British-Central/South Asian
GCST90497622	Phospholipids in IDL	Lipoprotein subclasses	23525	23825	sequencing	exWAS	no PGS adjustment	Combined	British-Central/South Asian
GCST90497637	Phospholipids in IDL	Lipoprotein subclasses	23525	23825	sequencing	exWAS	no PGS adjustment	Combined	European
GCST90497631	Phospholipids in IDL	Lipoprotein subclasses	23525	23825	sequencing	exWAS	no PGS adjustment	Combined	British-African
GCST90498429	Phospholipids in LDL	Phospholipids	23413	23713	array	Discovery		Combined	British-African
GCST90498431	Phospholipids in LDL	Phospholipids	23413	23713	array	Discovery		Combined	British-Central/South Asian
GCST90498435	Phospholipids in LDL	Phospholipids	23413	23713	array	Discovery		Combined	European
GCST90498432	Phospholipids in LDL	Phospholipids	23413	23713	array	Discovery		Female	European
GCST90498439	Phospholipids in LDL	Phospholipids	23413	23713	array	Discovery		Male	European
GCST90498427	Phospholipids in LDL	Phospholipids	23413	23713	sequencing	Gene-burden	PGS adjusted	Combined	British-Central/South Asian
GCST90498428	Phospholipids in LDL	Phospholipids	23413	23713	sequencing	Gene-burden	PGS adjusted	Combined	European
GCST90498443	Phospholipids in LDL	Phospholipids	23413	23713	sequencing	Gene-burden	PGS adjusted	Combined	British-African
GCST90498434	Phospholipids in LDL	Phospholipids	23413	23713	sequencing	Gene-burden	no PGS adjustment	Combined	European
GCST90498436	Phospholipids in LDL	Phospholipids	23413	23713	sequencing	Gene-burden	no PGS adjustment	Combined	British-Central/South Asian
GCST90498437	Phospholipids in LDL	Phospholipids	23413	23713	sequencing	Gene-burden	no PGS adjustment	Combined	British-African
GCST90501178	Phospholipids in LDL	Phospholipids	23413	23713	array	Meta-analysis		Combined	Combined
GCST90498440	Phospholipids in LDL	Phospholipids	23413	23713	sequencing	exWAS	PGS adjusted	Combined	European
GCST90498441	Phospholipids in LDL	Phospholipids	23413	23713	sequencing	exWAS	PGS adjusted	Combined	British-African
GCST90498442	Phospholipids in LDL	Phospholipids	23413	23713	sequencing	exWAS	PGS adjusted	Combined	British-Central/South Asian
GCST90498430	Phospholipids in LDL	Phospholipids	23413	23713	sequencing	exWAS	no PGS adjustment	Combined	British-Central/South Asian
GCST90498433	Phospholipids in LDL	Phospholipids	23413	23713	sequencing	exWAS	no PGS adjustment	Combined	British-African
GCST90498438	Phospholipids in LDL	Phospholipids	23413	23713	sequencing	exWAS	no PGS adjustment	Combined	European
GCST90497843	Phospholipids in Large HDL	Lipoprotein subclasses	23560	23860	array	Discovery		Combined	British-Central/South Asian
GCST90497855	Phospholipids in Large HDL	Lipoprotein subclasses	23560	23860	array	Discovery		Combined	British-African
GCST90497854	Phospholipids in Large HDL	Lipoprotein subclasses	23560	23860	array	Discovery		Combined	European
GCST90497847	Phospholipids in Large HDL	Lipoprotein subclasses	23560	23860	array	Discovery		Female	European
GCST90497853	Phospholipids in Large HDL	Lipoprotein subclasses	23560	23860	array	Discovery		Male	European
GCST90497839	Phospholipids in Large HDL	Lipoprotein subclasses	23560	23860	sequencing	Gene-burden	PGS adjusted	Combined	British-Central/South Asian
GCST90497840	Phospholipids in Large HDL	Lipoprotein subclasses	23560	23860	sequencing	Gene-burden	PGS adjusted	Combined	British-African
GCST90497849	Phospholipids in Large HDL	Lipoprotein subclasses	23560	23860	sequencing	Gene-burden	PGS adjusted	Combined	European
GCST90497848	Phospholipids in Large HDL	Lipoprotein subclasses	23560	23860	sequencing	Gene-burden	no PGS adjustment	Combined	European
GCST90497845	Phospholipids in Large HDL	Lipoprotein subclasses	23560	23860	sequencing	Gene-burden	no PGS adjustment	Combined	British-Central/South Asian
GCST90497846	Phospholipids in Large HDL	Lipoprotein subclasses	23560	23860	sequencing	Gene-burden	no PGS adjustment	Combined	British-African
GCST90501142	Phospholipids in Large HDL	Lipoprotein subclasses	23560	23860	array	Meta-analysis		Combined	Combined
GCST90497851	Phospholipids in Large HDL	Lipoprotein subclasses	23560	23860	sequencing	exWAS	PGS adjusted	Combined	European
GCST90497852	Phospholipids in Large HDL	Lipoprotein subclasses	23560	23860	sequencing	exWAS	PGS adjusted	Combined	British-African
GCST90497841	Phospholipids in Large HDL	Lipoprotein subclasses	23560	23860	sequencing	exWAS	PGS adjusted	Combined	British-Central/South Asian
GCST90497850	Phospholipids in Large HDL	Lipoprotein subclasses	23560	23860	sequencing	exWAS	no PGS adjustment	Combined	British-Central/South Asian
GCST90497842	Phospholipids in Large HDL	Lipoprotein subclasses	23560	23860	sequencing	exWAS	no PGS adjustment	Combined	European
GCST90497844	Phospholipids in Large HDL	Lipoprotein subclasses	23560	23860	sequencing	exWAS	no PGS adjustment	Combined	British-African
GCST90498055	Phospholipids in Large LDL	Lipoprotein subclasses	23532	23832	array	Discovery		Combined	European
GCST90498056	Phospholipids in Large LDL	Lipoprotein subclasses	23532	23832	array	Discovery		Combined	British-African
GCST90498050	Phospholipids in Large LDL	Lipoprotein subclasses	23532	23832	array	Discovery		Combined	British-Central/South Asian
GCST90498049	Phospholipids in Large LDL	Lipoprotein subclasses	23532	23832	array	Discovery		Female	European
GCST90498053	Phospholipids in Large LDL	Lipoprotein subclasses	23532	23832	array	Discovery		Male	European
GCST90498047	Phospholipids in Large LDL	Lipoprotein subclasses	23532	23832	sequencing	Gene-burden	PGS adjusted	Combined	European
GCST90498051	Phospholipids in Large LDL	Lipoprotein subclasses	23532	23832	sequencing	Gene-burden	PGS adjusted	Combined	British-African
GCST90498052	Phospholipids in Large LDL	Lipoprotein subclasses	23532	23832	sequencing	Gene-burden	PGS adjusted	Combined	British-Central/South Asian
GCST90498041	Phospholipids in Large LDL	Lipoprotein subclasses	23532	23832	sequencing	Gene-burden	no PGS adjustment	Combined	British-African
GCST90498054	Phospholipids in Large LDL	Lipoprotein subclasses	23532	23832	sequencing	Gene-burden	no PGS adjustment	Combined	British-Central/South Asian
GCST90498048	Phospholipids in Large LDL	Lipoprotein subclasses	23532	23832	sequencing	Gene-burden	no PGS adjustment	Combined	European
GCST90501154	Phospholipids in Large LDL	Lipoprotein subclasses	23532	23832	array	Meta-analysis		Combined	Combined
GCST90498042	Phospholipids in Large LDL	Lipoprotein subclasses	23532	23832	sequencing	exWAS	PGS adjusted	Combined	British-Central/South Asian
GCST90498043	Phospholipids in Large LDL	Lipoprotein subclasses	23532	23832	sequencing	exWAS	PGS adjusted	Combined	European
GCST90498057	Phospholipids in Large LDL	Lipoprotein subclasses	23532	23832	sequencing	exWAS	PGS adjusted	Combined	British-African
GCST90498044	Phospholipids in Large LDL	Lipoprotein subclasses	23532	23832	sequencing	exWAS	no PGS adjustment	Combined	British-African
GCST90498045	Phospholipids in Large LDL	Lipoprotein subclasses	23532	23832	sequencing	exWAS	no PGS adjustment	Combined	British-Central/South Asian
GCST90498046	Phospholipids in Large LDL	Lipoprotein subclasses	23532	23832	sequencing	exWAS	no PGS adjustment	Combined	European
GCST90498239	Phospholipids in Large VLDL	Lipoprotein subclasses	23497	23797	array	Discovery		Combined	European
GCST90498242	Phospholipids in Large VLDL	Lipoprotein subclasses	23497	23797	array	Discovery		Combined	British-African
GCST90498249	Phospholipids in Large VLDL	Lipoprotein subclasses	23497	23797	array	Discovery		Combined	British-Central/South Asian
GCST90498243	Phospholipids in Large VLDL	Lipoprotein subclasses	23497	23797	array	Discovery		Female	European
GCST90498247	Phospholipids in Large VLDL	Lipoprotein subclasses	23497	23797	array	Discovery		Male	European
GCST90498236	Phospholipids in Large VLDL	Lipoprotein subclasses	23497	23797	sequencing	Gene-burden	PGS adjusted	Combined	European
GCST90498246	Phospholipids in Large VLDL	Lipoprotein subclasses	23497	23797	sequencing	Gene-burden	PGS adjusted	Combined	British-Central/South Asian
GCST90498240	Phospholipids in Large VLDL	Lipoprotein subclasses	23497	23797	sequencing	Gene-burden	no PGS adjustment	Combined	British-African
GCST90498238	Phospholipids in Large VLDL	Lipoprotein subclasses	23497	23797	sequencing	Gene-burden	no PGS adjustment	Combined	European
GCST90498244	Phospholipids in Large VLDL	Lipoprotein subclasses	23497	23797	sequencing	Gene-burden	no PGS adjustment	Combined	British-Central/South Asian
GCST90501166	Phospholipids in Large VLDL	Lipoprotein subclasses	23497	23797	array	Meta-analysis		Combined	Combined
GCST90498241	Phospholipids in Large VLDL	Lipoprotein subclasses	23497	23797	sequencing	exWAS	PGS adjusted	Combined	British-Central/South Asian
GCST90498248	Phospholipids in Large VLDL	Lipoprotein subclasses	23497	23797	sequencing	exWAS	PGS adjusted	Combined	European
GCST90498237	Phospholipids in Large VLDL	Lipoprotein subclasses	23497	23797	sequencing	exWAS	no PGS adjustment	Combined	British-African
GCST90498235	Phospholipids in Large VLDL	Lipoprotein subclasses	23497	23797	sequencing	exWAS	no PGS adjustment	Combined	British-Central/South Asian
GCST90498245	Phospholipids in Large VLDL	Lipoprotein subclasses	23497	23797	sequencing	exWAS	no PGS adjustment	Combined	European
GCST90498630	Phospholipids in Medium HDL	Lipoprotein subclasses	23567	23867	array	Discovery		Combined	European
GCST90498631	Phospholipids in Medium HDL	Lipoprotein subclasses	23567	23867	array	Discovery		Combined	British-Central/South Asian
GCST90498639	Phospholipids in Medium HDL	Lipoprotein subclasses	23567	23867	array	Discovery		Combined	British-African
GCST90498635	Phospholipids in Medium HDL	Lipoprotein subclasses	23567	23867	array	Discovery		Female	European
GCST90498641	Phospholipids in Medium HDL	Lipoprotein subclasses	23567	23867	array	Discovery		Male	European
GCST90498628	Phospholipids in Medium HDL	Lipoprotein subclasses	23567	23867	sequencing	Gene-burden	PGS adjusted	Combined	European
GCST90498632	Phospholipids in Medium HDL	Lipoprotein subclasses	23567	23867	sequencing	Gene-burden	PGS adjusted	Combined	British-African
GCST90498627	Phospholipids in Medium HDL	Lipoprotein subclasses	23567	23867	sequencing	Gene-burden	PGS adjusted	Combined	British-Central/South Asian
GCST90498634	Phospholipids in Medium HDL	Lipoprotein subclasses	23567	23867	sequencing	Gene-burden	no PGS adjustment	Combined	British-Central/South Asian
GCST90498640	Phospholipids in Medium HDL	Lipoprotein subclasses	23567	23867	sequencing	Gene-burden	no PGS adjustment	Combined	European
GCST90498638	Phospholipids in Medium HDL	Lipoprotein subclasses	23567	23867	sequencing	Gene-burden	no PGS adjustment	Combined	British-African
GCST90501190	Phospholipids in Medium HDL	Lipoprotein subclasses	23567	23867	array	Meta-analysis		Combined	Combined
GCST90498643	Phospholipids in Medium HDL	Lipoprotein subclasses	23567	23867	sequencing	exWAS	PGS adjusted	Combined	British-Central/South Asian
GCST90498629	Phospholipids in Medium HDL	Lipoprotein subclasses	23567	23867	sequencing	exWAS	PGS adjusted	Combined	European
GCST90498636	Phospholipids in Medium HDL	Lipoprotein subclasses	23567	23867	sequencing	exWAS	PGS adjusted	Combined	British-African
GCST90498633	Phospholipids in Medium HDL	Lipoprotein subclasses	23567	23867	sequencing	exWAS	no PGS adjustment	Combined	British-Central/South Asian
GCST90498642	Phospholipids in Medium HDL	Lipoprotein subclasses	23567	23867	sequencing	exWAS	no PGS adjustment	Combined	European
GCST90498637	Phospholipids in Medium HDL	Lipoprotein subclasses	23567	23867	sequencing	exWAS	no PGS adjustment	Combined	British-African
GCST90498837	Phospholipids in Medium LDL	Lipoprotein subclasses	23539	23839	array	Discovery		Combined	British-Central/South Asian
GCST90498842	Phospholipids in Medium LDL	Lipoprotein subclasses	23539	23839	array	Discovery		Combined	European
GCST90498843	Phospholipids in Medium LDL	Lipoprotein subclasses	23539	23839	array	Discovery		Combined	British-African
GCST90498831	Phospholipids in Medium LDL	Lipoprotein subclasses	23539	23839	array	Discovery		Female	European
GCST90498832	Phospholipids in Medium LDL	Lipoprotein subclasses	23539	23839	array	Discovery		Male	European
GCST90498836	Phospholipids in Medium LDL	Lipoprotein subclasses	23539	23839	sequencing	Gene-burden	PGS adjusted	Combined	European
GCST90498835	Phospholipids in Medium LDL	Lipoprotein subclasses	23539	23839	sequencing	Gene-burden	PGS adjusted	Combined	British-African
GCST90498840	Phospholipids in Medium LDL	Lipoprotein subclasses	23539	23839	sequencing	Gene-burden	PGS adjusted	Combined	British-Central/South Asian
GCST90498834	Phospholipids in Medium LDL	Lipoprotein subclasses	23539	23839	sequencing	Gene-burden	no PGS adjustment	Combined	British-African
GCST90498841	Phospholipids in Medium LDL	Lipoprotein subclasses	23539	23839	sequencing	Gene-burden	no PGS adjustment	Combined	European
GCST90498839	Phospholipids in Medium LDL	Lipoprotein subclasses	23539	23839	sequencing	Gene-burden	no PGS adjustment	Combined	British-Central/South Asian
GCST90501202	Phospholipids in Medium LDL	Lipoprotein subclasses	23539	23839	array	Meta-analysis		Combined	Combined
GCST90498828	Phospholipids in Medium LDL	Lipoprotein subclasses	23539	23839	sequencing	exWAS	PGS adjusted	Combined	European
GCST90498829	Phospholipids in Medium LDL	Lipoprotein subclasses	23539	23839	sequencing	exWAS	PGS adjusted	Combined	British-African
GCST90498830	Phospholipids in Medium LDL	Lipoprotein subclasses	23539	23839	sequencing	exWAS	PGS adjusted	Combined	British-Central/South Asian
GCST90498833	Phospholipids in Medium LDL	Lipoprotein subclasses	23539	23839	sequencing	exWAS	no PGS adjustment	Combined	European
GCST90498838	Phospholipids in Medium LDL	Lipoprotein subclasses	23539	23839	sequencing	exWAS	no PGS adjustment	Combined	British-Central/South Asian
GCST90498827	Phospholipids in Medium LDL	Lipoprotein subclasses	23539	23839	sequencing	exWAS	no PGS adjustment	Combined	British-African
GCST90499021	Phospholipids in Medium VLDL	Lipoprotein subclasses	23504	23804	array	Discovery		Combined	British-Central/South Asian
GCST90499030	Phospholipids in Medium VLDL	Lipoprotein subclasses	23504	23804	array	Discovery		Combined	European
GCST90499033	Phospholipids in Medium VLDL	Lipoprotein subclasses	23504	23804	array	Discovery		Combined	British-African
GCST90499024	Phospholipids in Medium VLDL	Lipoprotein subclasses	23504	23804	array	Discovery		Female	European
GCST90499025	Phospholipids in Medium VLDL	Lipoprotein subclasses	23504	23804	array	Discovery		Male	European
GCST90499029	Phospholipids in Medium VLDL	Lipoprotein subclasses	23504	23804	sequencing	Gene-burden	PGS adjusted	Combined	British-African
GCST90499032	Phospholipids in Medium VLDL	Lipoprotein subclasses	23504	23804	sequencing	Gene-burden	PGS adjusted	Combined	European
GCST90499031	Phospholipids in Medium VLDL	Lipoprotein subclasses	23504	23804	sequencing	Gene-burden	no PGS adjustment	Combined	British-Central/South Asian
GCST90499034	Phospholipids in Medium VLDL	Lipoprotein subclasses	23504	23804	sequencing	Gene-burden	no PGS adjustment	Combined	European
GCST90499035	Phospholipids in Medium VLDL	Lipoprotein subclasses	23504	23804	sequencing	Gene-burden	no PGS adjustment	Combined	British-African
GCST90501214	Phospholipids in Medium VLDL	Lipoprotein subclasses	23504	23804	array	Meta-analysis		Combined	Combined
GCST90499022	Phospholipids in Medium VLDL	Lipoprotein subclasses	23504	23804	sequencing	exWAS	PGS adjusted	Combined	European
GCST90499023	Phospholipids in Medium VLDL	Lipoprotein subclasses	23504	23804	sequencing	exWAS	PGS adjusted	Combined	British-African
GCST90499028	Phospholipids in Medium VLDL	Lipoprotein subclasses	23504	23804	sequencing	exWAS	no PGS adjustment	Combined	European
GCST90499026	Phospholipids in Medium VLDL	Lipoprotein subclasses	23504	23804	sequencing	exWAS	no PGS adjustment	Combined	British-African
GCST90499027	Phospholipids in Medium VLDL	Lipoprotein subclasses	23504	23804	sequencing	exWAS	no PGS adjustment	Combined	British-Central/South Asian
GCST90499482	Phospholipids in Small HDL	Lipoprotein subclasses	23574	23874	array	Discovery		Combined	British-African
GCST90499489	Phospholipids in Small HDL	Lipoprotein subclasses	23574	23874	array	Discovery		Combined	European
GCST90499488	Phospholipids in Small HDL	Lipoprotein subclasses	23574	23874	array	Discovery		Combined	British-Central/South Asian
GCST90499483	Phospholipids in Small HDL	Lipoprotein subclasses	23574	23874	array	Discovery		Female	European
GCST90499478	Phospholipids in Small HDL	Lipoprotein subclasses	23574	23874	array	Discovery		Male	European
GCST90499477	Phospholipids in Small HDL	Lipoprotein subclasses	23574	23874	sequencing	Gene-burden	PGS adjusted	Combined	British-Central/South Asian
GCST90499484	Phospholipids in Small HDL	Lipoprotein subclasses	23574	23874	sequencing	Gene-burden	PGS adjusted	Combined	British-African
GCST90499492	Phospholipids in Small HDL	Lipoprotein subclasses	23574	23874	sequencing	Gene-burden	PGS adjusted	Combined	European
GCST90499479	Phospholipids in Small HDL	Lipoprotein subclasses	23574	23874	sequencing	Gene-burden	no PGS adjustment	Combined	European
GCST90499480	Phospholipids in Small HDL	Lipoprotein subclasses	23574	23874	sequencing	Gene-burden	no PGS adjustment	Combined	British-Central/South Asian
GCST90499487	Phospholipids in Small HDL	Lipoprotein subclasses	23574	23874	sequencing	Gene-burden	no PGS adjustment	Combined	British-African
GCST90501242	Phospholipids in Small HDL	Lipoprotein subclasses	23574	23874	array	Meta-analysis		Combined	Combined
GCST90499485	Phospholipids in Small HDL	Lipoprotein subclasses	23574	23874	sequencing	exWAS	PGS adjusted	Combined	European
GCST90499486	Phospholipids in Small HDL	Lipoprotein subclasses	23574	23874	sequencing	exWAS	PGS adjusted	Combined	British-African
GCST90499493	Phospholipids in Small HDL	Lipoprotein subclasses	23574	23874	sequencing	exWAS	PGS adjusted	Combined	British-Central/South Asian
GCST90499481	Phospholipids in Small HDL	Lipoprotein subclasses	23574	23874	sequencing	exWAS	no PGS adjustment	Combined	British-Central/South Asian
GCST90499490	Phospholipids in Small HDL	Lipoprotein subclasses	23574	23874	sequencing	exWAS	no PGS adjustment	Combined	British-African
GCST90499491	Phospholipids in Small HDL	Lipoprotein subclasses	23574	23874	sequencing	exWAS	no PGS adjustment	Combined	European
GCST90499676	Phospholipids in Small LDL	Lipoprotein subclasses	23546	23846	array	Discovery		Combined	European
GCST90499680	Phospholipids in Small LDL	Lipoprotein subclasses	23546	23846	array	Discovery		Combined	British-African
GCST90499684	Phospholipids in Small LDL	Lipoprotein subclasses	23546	23846	array	Discovery		Combined	British-Central/South Asian
GCST90499681	Phospholipids in Small LDL	Lipoprotein subclasses	23546	23846	array	Discovery		Female	European
GCST90499673	Phospholipids in Small LDL	Lipoprotein subclasses	23546	23846	array	Discovery		Male	European
GCST90499678	Phospholipids in Small LDL	Lipoprotein subclasses	23546	23846	sequencing	Gene-burden	PGS adjusted	Combined	British-African
GCST90499687	Phospholipids in Small LDL	Lipoprotein subclasses	23546	23846	sequencing	Gene-burden	PGS adjusted	Combined	British-Central/South Asian
GCST90499688	Phospholipids in Small LDL	Lipoprotein subclasses	23546	23846	sequencing	Gene-burden	PGS adjusted	Combined	European
GCST90499679	Phospholipids in Small LDL	Lipoprotein subclasses	23546	23846	sequencing	Gene-burden	no PGS adjustment	Combined	British-Central/South Asian
GCST90499682	Phospholipids in Small LDL	Lipoprotein subclasses	23546	23846	sequencing	Gene-burden	no PGS adjustment	Combined	British-African
GCST90499689	Phospholipids in Small LDL	Lipoprotein subclasses	23546	23846	sequencing	Gene-burden	no PGS adjustment	Combined	European
GCST90501254	Phospholipids in Small LDL	Lipoprotein subclasses	23546	23846	array	Meta-analysis		Combined	Combined
GCST90499674	Phospholipids in Small LDL	Lipoprotein subclasses	23546	23846	sequencing	exWAS	PGS adjusted	Combined	European
GCST90499675	Phospholipids in Small LDL	Lipoprotein subclasses	23546	23846	sequencing	exWAS	PGS adjusted	Combined	British-African
GCST90499677	Phospholipids in Small LDL	Lipoprotein subclasses	23546	23846	sequencing	exWAS	PGS adjusted	Combined	British-Central/South Asian
GCST90499683	Phospholipids in Small LDL	Lipoprotein subclasses	23546	23846	sequencing	exWAS	no PGS adjustment	Combined	European
GCST90499685	Phospholipids in Small LDL	Lipoprotein subclasses	23546	23846	sequencing	exWAS	no PGS adjustment	Combined	British-Central/South Asian
GCST90499686	Phospholipids in Small LDL	Lipoprotein subclasses	23546	23846	sequencing	exWAS	no PGS adjustment	Combined	British-African
GCST90499877	Phospholipids in Small VLDL	Lipoprotein subclasses	23511	23811	array	Discovery		Combined	British-Central/South Asian
GCST90499880	Phospholipids in Small VLDL	Lipoprotein subclasses	23511	23811	array	Discovery		Combined	European
GCST90499885	Phospholipids in Small VLDL	Lipoprotein subclasses	23511	23811	array	Discovery		Combined	British-African
GCST90499881	Phospholipids in Small VLDL	Lipoprotein subclasses	23511	23811	array	Discovery		Female	European
GCST90499871	Phospholipids in Small VLDL	Lipoprotein subclasses	23511	23811	array	Discovery		Male	European
GCST90499875	Phospholipids in Small VLDL	Lipoprotein subclasses	23511	23811	sequencing	Gene-burden	PGS adjusted	Combined	European
GCST90499879	Phospholipids in Small VLDL	Lipoprotein subclasses	23511	23811	sequencing	Gene-burden	PGS adjusted	Combined	British-African
GCST90499878	Phospholipids in Small VLDL	Lipoprotein subclasses	23511	23811	sequencing	Gene-burden	no PGS adjustment	Combined	British-Central/South Asian
GCST90499874	Phospholipids in Small VLDL	Lipoprotein subclasses	23511	23811	sequencing	Gene-burden	no PGS adjustment	Combined	European
GCST90499876	Phospholipids in Small VLDL	Lipoprotein subclasses	23511	23811	sequencing	Gene-burden	no PGS adjustment	Combined	British-African
GCST90501266	Phospholipids in Small VLDL	Lipoprotein subclasses	23511	23811	array	Meta-analysis		Combined	Combined
GCST90499872	Phospholipids in Small VLDL	Lipoprotein subclasses	23511	23811	sequencing	exWAS	PGS adjusted	Combined	British-African
GCST90499882	Phospholipids in Small VLDL	Lipoprotein subclasses	23511	23811	sequencing	exWAS	PGS adjusted	Combined	European
GCST90499873	Phospholipids in Small VLDL	Lipoprotein subclasses	23511	23811	sequencing	exWAS	no PGS adjustment	Combined	British-African
GCST90499883	Phospholipids in Small VLDL	Lipoprotein subclasses	23511	23811	sequencing	exWAS	no PGS adjustment	Combined	European
GCST90499884	Phospholipids in Small VLDL	Lipoprotein subclasses	23511	23811	sequencing	exWAS	no PGS adjustment	Combined	British-Central/South Asian
GCST90500267	Phospholipids in VLDL	Phospholipids	23412	23712	array	Discovery		Combined	British-African
GCST90500261	Phospholipids in VLDL	Phospholipids	23412	23712	array	Discovery		Combined	British-Central/South Asian
GCST90500265	Phospholipids in VLDL	Phospholipids	23412	23712	array	Discovery		Combined	European
GCST90500266	Phospholipids in VLDL	Phospholipids	23412	23712	array	Discovery		Female	European
GCST90500268	Phospholipids in VLDL	Phospholipids	23412	23712	array	Discovery		Male	European
GCST90500272	Phospholipids in VLDL	Phospholipids	23412	23712	sequencing	Gene-burden	PGS adjusted	Combined	European
GCST90500274	Phospholipids in VLDL	Phospholipids	23412	23712	sequencing	Gene-burden	PGS adjusted	Combined	British-Central/South Asian
GCST90500260	Phospholipids in VLDL	Phospholipids	23412	23712	sequencing	Gene-burden	no PGS adjustment	Combined	British-Central/South Asian
GCST90500262	Phospholipids in VLDL	Phospholipids	23412	23712	sequencing	Gene-burden	no PGS adjustment	Combined	European
GCST90500264	Phospholipids in VLDL	Phospholipids	23412	23712	sequencing	Gene-burden	no PGS adjustment	Combined	British-African
GCST90501291	Phospholipids in VLDL	Phospholipids	23412	23712	array	Meta-analysis		Combined	Combined
GCST90500271	Phospholipids in VLDL	Phospholipids	23412	23712	sequencing	exWAS	PGS adjusted	Combined	European
GCST90500270	Phospholipids in VLDL	Phospholipids	23412	23712	sequencing	exWAS	PGS adjusted	Combined	British-Central/South Asian
GCST90500269	Phospholipids in VLDL	Phospholipids	23412	23712	sequencing	exWAS	no PGS adjustment	Combined	British-African
GCST90500263	Phospholipids in VLDL	Phospholipids	23412	23712	sequencing	exWAS	no PGS adjustment	Combined	British-Central/South Asian
GCST90500273	Phospholipids in VLDL	Phospholipids	23412	23712	sequencing	exWAS	no PGS adjustment	Combined	European
GCST90500456	Phospholipids in Very Large HDL	Lipoprotein subclasses	23553	23853	array	Discovery		Combined	European
GCST90500450	Phospholipids in Very Large HDL	Lipoprotein subclasses	23553	23853	array	Discovery		Combined	British-Central/South Asian
GCST90500452	Phospholipids in Very Large HDL	Lipoprotein subclasses	23553	23853	array	Discovery		Combined	British-African
GCST90500458	Phospholipids in Very Large HDL	Lipoprotein subclasses	23553	23853	array	Discovery		Female	European
GCST90500451	Phospholipids in Very Large HDL	Lipoprotein subclasses	23553	23853	array	Discovery		Male	European
GCST90500444	Phospholipids in Very Large HDL	Lipoprotein subclasses	23553	23853	sequencing	Gene-burden	PGS adjusted	Combined	British-Central/South Asian
GCST90500453	Phospholipids in Very Large HDL	Lipoprotein subclasses	23553	23853	sequencing	Gene-burden	PGS adjusted	Combined	British-African
GCST90500447	Phospholipids in Very Large HDL	Lipoprotein subclasses	23553	23853	sequencing	Gene-burden	PGS adjusted	Combined	European
GCST90500454	Phospholipids in Very Large HDL	Lipoprotein subclasses	23553	23853	sequencing	Gene-burden	no PGS adjustment	Combined	European
GCST90500457	Phospholipids in Very Large HDL	Lipoprotein subclasses	23553	23853	sequencing	Gene-burden	no PGS adjustment	Combined	British-Central/South Asian
GCST90500449	Phospholipids in Very Large HDL	Lipoprotein subclasses	23553	23853	sequencing	Gene-burden	no PGS adjustment	Combined	British-African
GCST90501302	Phospholipids in Very Large HDL	Lipoprotein subclasses	23553	23853	array	Meta-analysis		Combined	Combined
